10,"[2, 3, 4, 5, 6, 7, 8, 9]","[0.816053231974499, 0.46772623565728855, 0.3989069152555153, 0.3529037779647674, 0.31694982289748463, 0.2852269104038263, 0.253821491442997, 0.21769211310058864]"
30,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.8051078539734424, 0.4021796690433689, 0.33919947945138906, 0.3021003865305912, 0.2751070014377367, 0.25337644862703557, 0.23479682935616525, 0.21822106722914147, 0.2029151747183423, 0.18832717489623074, 0.17395089170513267, 0.15918360136560347, 0.14301692510089256, 0.12272563433199818]"
100,"[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.8015094705617878, 0.30950886381426357, 0.25308958988786734, 0.22019390482257492, 0.19676962309832827, 0.17844929711442556, 0.1632768808046824, 0.150196422128609, 0.138563024167057, 0.12794198880423455, 0.11801072417206118, 0.10850125132554075, 0.09915547324958884, 0.08967073989055012, 0.07958971159319458, 0.06793611541466801, 0.05030149757176725]"
200,"[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.8007536680455614, 0.26287761601715615, 0.20956634554430753, 0.17932541875610344, 0.1583507860341142, 0.1423234956355319, 0.12932670091937226, 0.1183416050774007, 0.10876011686384911, 0.10018646379713682, 0.09234298905857825, 0.08501943739357368, 0.0780416332494496, 0.07124762054984897, 0.06446203116506, 0.05745361458769655, 0.04982912519059722, 0.040610578358594884]"
800,"[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.8002153913547794, 0.1701399283816955, 0.12705971008432151, 0.10461272047222749, 0.08989108134994947, 0.07908525882652907, 0.07058957284860923, 0.06358967989082273, 0.057620319952951964, 0.052391694175191635, 0.04771057324097591, 0.043440232773485514, 0.0394779200006101, 0.035740595006216215, 0.03215422497161176, 0.02864329881652298, 0.025116224901596682, 0.021435668385160145, 0.017327475298327285, 0.011835112051533968]"
