"[5.317361552716548, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.5497250278052992, 0.05706588395692569, -0.007453197218989755, -0.00603074445797797, -0.0033501675876222146, -0.0017794897874938865, -0.0007794590093021305, -0.00015248588904154424]"
"[5.317361552716548, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.6458084379537624, -0.010119510968242911, -0.0056143209792082925, -0.0024401526827363754, -0.0010586929304233941, -0.00045897219689900435, -0.00019869181443843786, -8.576886367057158e-05, -3.6814889617081e-05, -1.562509570353052e-05, -6.480863460638586e-06, -2.558365672995834e-06, -8.957991596471509e-07, -2.0817215316183228e-07]"
"[5.317361552716548, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.6469837469128962, -0.0024430412438673907, -0.000199378536451765, -1.627575310906201e-05, -1.3288693596420497e-06, -1.0851970369833683e-07, -8.863949064663171e-09, -7.241792879320595e-10, -5.917982231970654e-11, -4.837478190638573e-12, -3.955405296106291e-13, -3.235127613946655e-14, -2.6464681193626664e-15, -2.1629965530097264e-16, -1.752350144898836e-17, -1.3241101206440068e-18, -4.253181022926783e-20]"
"[5.317361552716548, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.6474854880173946, -0.000302341767970566, -3.0499371921616093e-06, -3.0772665976822935e-08, -3.105494810333761e-10, -3.134727979356286e-12, -3.165092552035158e-14, -3.1967392259399496e-16, -3.229847671580213e-18, -3.264632176798495e-20, -3.30134839281091e-22, -3.340301396884865e-24, -3.381855327438241e-26, -3.426444851979765e-28, -3.474587045803265e-30, -3.526825649061712e-32, -3.580987888682406e-34, -3.526471564345294e-36]"
"[5.317361552716548, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.6485528560511424, -1.0675970677185386e-09, -3.7973721667781024e-17, -1.3530470946709398e-24, -4.829060344502278e-32, -1.7261472455696927e-39, -6.09247162129524e-47, 6.8822248774371e-54, 9.13026436478016e-59, 8.846011827447714e-64, 8.198015210447205e-69, 7.200794419210716e-74, 5.910011750961767e-79, 4.440345621442505e-84, 2.9609314132297644e-89, 1.6676899761675023e-94, 7.278673783614167e-100, 2.077205010118407e-105, 2.576383344545008e-111, 3.4019416515384583e-118]"
"[2.658680776358274, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[2.658557303916851, -0.5186277443123376, 0.3239725134241384, -0.2021503143477529, 0.12654333422911018, -0.07943778610489355, 0.05010809496588006, -0.031880308828722545]"
"[2.658680776358274, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[2.622543742153219, 0.32265966873314605, 0.12144400009404449, 0.04602210028649674, 0.0175271751409385, 0.006701169048160162, 0.0025703039621590546, 0.0009885588245883898, 0.0003811124576257578, 0.00014724907671520465, 5.7022284300223694e-05, 2.2150504686584522e-05, 8.654563800374795e-06, 3.4275910783747507e-06]"
"[2.658680776358274, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[2.472613926438636, 0.03340899159765507, 0.001172527102591764, 4.14738616440429e-05, 1.4547289005006613e-06, 4.8660413258923397e-08, 1.2858513051392223e-09, -1.0420412795927365e-11, -5.06111946198508e-12, 3.669515268912233e-13, 5.260476511844545e-13, 2.473672038952902e-13, 9.520467456394736e-14, 3.244513280482831e-14, 9.224938128313264e-15, 1.7080952499973368e-15, 4.798485201836645e-17]"
"[2.658680776358274, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[2.471194773015642, -0.001901810307800409, 4.295711569590943e-06, -9.616072189280915e-09, 4.775708170194318e-11, 4.045561128514105e-12, 7.678815038359179e-14, -4.983810602165027e-14, -1.2679130718957895e-14, -2.2424883556414482e-15, -3.458216788682716e-16, -4.9406024616326035e-17, -6.625589850525275e-18, -8.224318005368415e-19, -9.174362671998568e-20, -9.384258592423764e-21, -1.2008478110434486e-21, -1.9748864793474566e-22]"
"[2.658680776358274, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[2.471081120652373, 6.920674979190036e-10, -3.3788815666631276e-13, -5.847169694506564e-16, -9.767867360200062e-19, 4.651166507496396e-22, 4.913442746300828e-23, 7.83343420360774e-25, 7.766806239494904e-27, -3.166430906520633e-29, -4.7735960091965325e-30, -1.8415357308502292e-31, -5.466724580465421e-33, -1.4042891836706108e-34, -3.178401348961576e-36, -6.229112758015866e-38, -1.0429283384880224e-39, -1.715908322754046e-41, -2.930772264672898e-43, -3.7361645158038874e-46]"
