10,"[2, 3, 4, 5, 6, 7, 8, 9]","[0.33208749545511657, -0.09316300001964456, -0.04699386600334665, -0.02835539022030385, -0.019120938991454638, -0.013596330296787416, -0.00972199911040008, -0.006624031256748299]"
30,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.3395223156548331, -0.03891548688280121, -0.015766504226954633, -0.0093114353480368, -0.00643747118140933, -0.004817254805880586, -0.0037724162260658082, -0.0030353619288997916, -0.002479389059410602, -0.0020363589925336163, -0.0016654304285751813, -0.0013388084084587637, -0.0010328534057844826, -0.0007161082076722822]"
100,"[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.34158735005151636, -0.007922843570891019, -0.0031160729373105253, -0.001823341713176883, -0.001250358760048748, -0.0009323417021329049, -0.0007309087701188959, -0.000591494575198445, -0.0004885283061558944, -0.0004084997895975643, -0.00034358361191937385, -0.0002888704342049143, -0.00024100836946548427, -0.00019742264825729772, -0.00015568334277539161, -0.00011242272532331968, -5.743630463354854e-05]"
200,"[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.34199815205933787, -0.003266318435263156, -0.001264091041814238, -0.0007335198200678706, -0.0005010406933266881, -0.0003731386771026134, -0.0002926965145451858, -0.00023736672987239855, -0.00019678330117898276, -0.00016553700098265726, -0.00014053173532521516, -0.00011984721059716749, -0.00010220075339654241, -8.667132661963842e-05, -7.254029533777014e-05, -5.916669601647995e-05, -4.5806843332418454e-05, -3.107541507445591e-05]"
800,"[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.34228591018783144, -0.0004739681059924856, -0.00018235901738616368, -0.00010658131855214529, -7.317292981887666e-05, -5.4169801797147085e-05, -4.1669169533672295e-05, -3.274068182651632e-05, -2.6058430017890898e-05, -2.091740146056728e-05, -1.6893386296953697e-05, -1.370692360638337e-05, -1.1160878136637809e-05, -9.107977159732638e-06, -7.431898461354811e-06, -6.035095778407062e-06, -4.8304979922099076e-06, -3.735461466976113e-06, -2.658843884702569e-06, -1.399180605064776e-06]"
