"[5.317361552716548, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.6211815963460593, -0.13022858196255982, -0.09539109249915259, -0.07134864273721836, -0.055109722113105615, -0.044895118922903265, -0.03958654002377033, -0.03858701527313632]"
"[5.317361552716548, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.7018369662877265, -0.11410737024353687, -0.059055682266372325, -0.030592503680070663, -0.015873224566317574, -0.008259646723681981, -0.004320225222575656, -0.0022807097461863216, -0.0012235304010134976, -0.0006740029321641262, -0.0003864615387240179, -0.00023384199106118997, -0.00015104733688901112, -0.00010688217042421899]"
"[5.317361552716548, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.7028961892357213, -0.030386909211373388, -0.004274071574735696, -0.0006703771123913621, -0.00016708803455063874, -9.168545718543273e-05, -7.579919014659415e-05, -6.858761639629398e-05, -6.299607831465663e-05, -5.801342687534826e-05, -5.346510353300383e-05, -4.929240053235971e-05, -4.544129744344771e-05, -4.178371008945435e-05, -3.778500914423293e-05, -3.1109567904960556e-05, -1.5120722707179235e-05]"
"[5.317361552716548, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.7033562090541143, -0.005874756962222, -0.00024039635229245859, -7.999812231944718e-05, -6.55671230567848e-05, -5.6518818208114194e-05, -4.8913728842083946e-05, -4.2448773408228734e-05, -3.694551175939e-05, -3.2253065843457806e-05, -2.8241723100553342e-05, -2.4799448494135646e-05, -2.1828904056143364e-05, -1.9244836750785272e-05, -1.6971735662654774e-05, -1.4940890909191e-05, -1.3065981296686959e-05, -1.0750883109389778e-05]"
"[5.317361552716548, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.7043388430615614, -3.525517590160284e-05, -2.4676552735977382e-05, -1.8333115683663104e-05, -1.4557112853447619e-05, -1.2390374789909863e-05, -1.12166765556574e-05, -1.0656519766146953e-05, -1.0483104542201977e-05, -1.0563771392473552e-05, -1.082178485223119e-05, -1.1211970220760894e-05, -1.1704631800344052e-05, -1.227319374861582e-05, -1.2881248390598956e-05, -1.3463581237859509e-05, -1.3892337144227841e-05, -1.3911891694697595e-05, -1.3010253636063255e-05, -1.0118471124956688e-05]"
"[2.658680776358274, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.44094940298907737, -0.12104852958987614, -0.07312876603498383, -0.044530199062432975, -0.027470870285579665, -0.017293113041966984, -0.011201055372655953, -0.00750334057496785]"
"[2.658680776358274, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.4979587827291233, -0.06346969022174583, -0.024494830146670317, -0.010705816130091833, -0.005914252697142181, -0.004374246900874182, -0.00405078572941652, -0.004227744448980636, -0.0046568178382763595, -0.005251761818755236, -0.005970219607640616, -0.006745379606922042, -0.007389725200145556, -0.007365261973228988]"
"[2.658680776358274, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.7124401159983683, -0.03462651112540815, -0.021019845458561684, -0.012590261801040094, -0.007485812649628728, -0.004437228498535535, -0.002626628176452168, -0.0015548133451382187, -0.0009224507825221241, -0.000551570210689693, -0.0003372655369962732, -0.00021873021805344107, -0.00016227594981885717, -0.0001518078942706856, -0.00018392702716873988, -0.00026264208059597477, -0.00032367983977005244]"
"[2.658680776358274, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.7142334846349933, -0.02319460414257633, -0.009030703218083823, -0.00345780206429865, -0.0013178949748969453, -0.0005019595743996682, -0.00019195684378495292, -7.440789292892997e-05, -2.9877378651165265e-05, -1.3009269685297306e-05, -6.609349660684566e-06, -4.161097603369454e-06, -3.1864325170885164e-06, -2.7256401507323074e-06, -2.378858197603622e-06, -1.94728497556005e-06, -1.3391299352079333e-06, -6.886016604701339e-07]"
"[2.658680776358274, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.71438465029049, -0.0016983703891253591, -4.768213214178759e-05, -3.969203086415078e-06, -2.784295330910747e-06, -2.709226095336698e-06, -2.664082865026229e-06, -2.621611558437735e-06, -2.5812190178109347e-06, -2.5428783650727034e-06, -2.506561275590647e-06, -2.4722386654734853e-06, -2.439882647630408e-06, -2.409466425858206e-06, -2.3809613669223905e-06, -2.3543110290515654e-06, -2.3291132528620285e-06, -2.2992516789769072e-06, -2.161026595105548e-06, -9.476345457191948e-07]"
"[1.772453850905516, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.2646910356972426, -0.08170969091863563, -0.032767277908916925, -0.02477001190363658, -0.018766603017196643, -0.01424634117590984, -0.010851705908015352, -0.00831124051980763]"
"[1.772453850905516, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.2759555350836098, -0.032989890879182616, -0.018820112699544086, -0.010748209821086737, -0.006140068172551928, -0.00350901093633636, -0.0020065298656066917, -0.001148322463197227, -0.000657950561290504, -0.0003776170313915248, -0.00021724540451515084, -0.00012542003586766756, -7.280448512138056e-05, -4.26850118079255e-05]"
"[1.772453850905516, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.27601127263539355, -0.010746684408075639, -0.002005777196276816, -0.0003774963061073391, -7.303391982058754e-05, -1.543373438616808e-05, -4.115586663036492e-06, -1.6186294832340314e-06, -8.925569930290337e-07, -5.793943977994685e-07, -3.984389868969404e-07, -2.795088984150879e-07, -1.9755581108815064e-07, -1.396156155402409e-07, -9.724874525553608e-08, -6.415432204551728e-08, -3.507151831298218e-08]"
"[1.772453850905516, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.27601175356183916, -0.0026523154435691035, -0.00012556120201542853, -7.63504600689168e-06, -1.2839038507770275e-06, -5.409729977702864e-07, -2.8044637632340876e-07, -1.5292767892060337e-07, -8.775881247392006e-08, -5.426430976185085e-08, -3.7020151457420385e-08, -2.8110377162084747e-08, -2.3442397982050863e-08, -2.0866467346810225e-08, -1.9191105631985615e-08, -1.7639301839446176e-08, -1.55012677119792e-08, -1.1848456468532094e-08]"
